timestamp,city,category,item_name,item_id,tier,enchant,observed_price,raw_text,confidence,error
2026-04-25T13:37:27.023383+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG,4,0,7192,"7,192",0.73,
2026-04-25T13:37:30.143018+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@1,4,1,8847,"8,847",0.73,
2026-04-25T13:37:33.203247+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@2,4,2,38306,"38,306",0.8,
2026-04-25T13:37:36.291489+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@3,4,3,119993,"119,993",0.87,
2026-04-25T13:37:39.343988+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@4,4,4,1,1,0.52,
2026-04-25T13:37:42.412988+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG,5,0,19980,"19,980",0.8,
2026-04-25T13:37:45.479840+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG@1,5,1,31998,"31,998",0.8,
2026-04-25T13:37:48.556840+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG@2,5,2,99970,"99,970",0.8,
2026-04-25T13:37:51.652392+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG@3,5,3,312995,"312,995",0.87,
2026-04-25T13:37:54.739594+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG@4,5,4,1,1,0.52,
2026-04-25T13:37:57.837063+00:00,Bridgewatch,bags,Master's Bag,T6_BAG,6,0,59989,"59,989",0.8,
2026-04-25T13:40:29.067393+00:00,Bridgewatch,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF,4,0,34973,"34,973",0.8,
2026-04-25T13:40:32.094826+00:00,Bridgewatch,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@1,4,1,34973,"34,973",0.8,
2026-04-25T13:40:35.087508+00:00,Bridgewatch,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@2,4,2,68999,"68,999",0.8,
2026-04-25T13:40:38.220448+00:00,Bridgewatch,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@3,4,3,1,1,0.52,
2026-04-25T13:40:41.311582+00:00,Bridgewatch,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@4,4,4,1,1,0.52,
2026-04-25T13:40:44.339676+00:00,Bridgewatch,weapons,Expert's Arcane Staff,T5_MAIN_ARCANESTAFF,5,0,25071,"25,071",0.8,
2026-04-25T13:42:46.083960+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG,4,0,7192,"7,192",0.73,
2026-04-25T13:42:49.146405+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@1,4,1,8847,"8,847",0.73,
2026-04-25T13:42:52.224203+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@2,4,2,34000,"34,000",0.8,
2026-04-25T13:42:55.239674+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@3,4,3,119993,"119,993",0.87,
2026-04-25T13:42:58.282702+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@4,4,4,1,1,0.52,
2026-04-25T13:43:01.389714+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG,5,0,19980,"19,980",0.8,
2026-04-25T13:58:20.939043+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG,4,0,7192,"7,192",0.73,
2026-04-25T13:58:24.094212+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@1,4,1,8847,"8,847",0.73,
2026-04-25T13:58:27.168685+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@2,4,2,38309,"38,309",0.8,
2026-04-25T13:58:30.190025+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@3,4,3,119993,"119,993",0.87,
2026-04-25T13:58:33.272932+00:00,Bridgewatch,bags,Adept's Bag,T4_BAG@4,4,4,1,1,0.52,
2026-04-25T13:58:36.295786+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG,5,0,19980,"19,980",0.8,
2026-04-25T13:58:39.325086+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG@1,5,1,29999,"29,999",0.8,
2026-04-25T13:58:42.421901+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG@2,5,2,99971,"99,971",0.8,
2026-04-25T13:58:45.540033+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG@3,5,3,312995,"312,995",0.87,
2026-04-25T13:58:48.665793+00:00,Bridgewatch,bags,Expert's Bag,T5_BAG@4,5,4,1,1,0.52,
2026-04-25T13:58:51.790074+00:00,Bridgewatch,bags,Master's Bag,T6_BAG,6,0,59989,"59,989",0.8,
2026-04-25T13:58:54.896823+00:00,Bridgewatch,bags,Master's Bag,T6_BAG@1,6,1,90000,"90,000",0.8,
2026-04-25T13:58:57.995264+00:00,Bridgewatch,bags,Master's Bag,T6_BAG@2,6,2,269955,"269,955",0.87,
2026-04-25T14:04:52.981836+00:00,Caerleon,bags,Adept's Bag,T4_BAG,4,0,7192,"7,192",0.73,
2026-04-25T14:04:56.127367+00:00,Caerleon,bags,Adept's Bag,T4_BAG@1,4,1,8847,"8,847",0.73,
2026-04-25T14:04:59.287742+00:00,Caerleon,bags,Adept's Bag,T4_BAG@2,4,2,38309,"38,309",0.8,
2026-04-25T14:05:02.376648+00:00,Caerleon,bags,Adept's Bag,T4_BAG@3,4,3,119993,"119,993",0.87,
2026-04-25T14:05:05.525371+00:00,Caerleon,bags,Adept's Bag,T4_BAG@4,4,4,1,1,0.52,
2026-04-25T14:05:08.685303+00:00,Caerleon,bags,Expert's Bag,T5_BAG,5,0,19980,"19,980",0.8,
2026-04-25T14:05:11.720968+00:00,Caerleon,bags,Expert's Bag,T5_BAG@1,5,1,29998,"29,998",0.8,
2026-04-25T14:12:41.999820+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF,4,0,34973,"34,973",0.8,
2026-04-25T14:12:45.017937+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@1,4,1,39988,"39,988",0.8,
2026-04-25T14:12:48.152580+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@2,4,2,68999,"68,999",0.8,
2026-04-25T14:12:51.225777+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@3,4,3,1,1,0.52,
2026-04-25T14:12:54.320797+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@4,4,4,1,1,0.52,
2026-04-25T14:32:00.774224+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF,4,0,34973,"34,973",0.8,
2026-04-25T14:32:03.814197+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@1,4,1,39988,"39,988",0.8,
2026-04-25T14:32:06.863631+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@2,4,2,68999,"68,999",0.8,
2026-04-25T14:32:09.903905+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@3,4,3,1,1,0.52,
2026-04-25T14:32:13.061014+00:00,Caerleon,weapons,Adept's Arcane Staff,T4_MAIN_ARCANESTAFF@4,4,4,1,1,0.52,
